order_id,decision_ts_s,execution_ts_s,market_id,token_id,side,action,requested_notional_usd,requested_qty,status,reason,latency_ms,unfilled_notional_usd
gen-11-1,1775204437.0,1775204437.5278854,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,NO,BUY,100.0,0.0,filled,m1_ancient_r6_Rune Eaters_round_score_5-1_map_score_0-0,527.8853596915767,0.0
gen-18-1,1775204868.0,1775204868.405002,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,NO,SELL,100.0,146.68133480014666,filled,m1_ancient_r9_Omega_round_score_8-1_map_score_0-0,405.0021510445334,0.0
gen-21-1,1775205039.0,1775205039.455006,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,YES,BUY,100.0,0.0,filled,m1_ancient_r11_Rune Eaters_round_score_8-3_map_score_0-0,455.00586367382385,0.0
gen-24-1,1775205219.0,1775205219.444642,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,YES,SELL,100.0,181.6695431010991,filled,m1_ancient_r13_Rune Eaters_round_score_8-5_map_score_0-0,444.64214762976457,0.0
gen-26-1,1775205337.0,1775205337.5472941,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,NO,BUY,100.0,0.0,filled,m1_ancient_r14_Rune Eaters_round_score_8-6_map_score_0-0,547.2942428328024,0.0
gen-27-1,1775205397.0,1775205397.5353398,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,NO,SELL,100.0,181.6695431010991,filled,m1_ancient_r14_Rune Eaters_round_score_8-6_map_score_0-0,535.3398974845823,0.0
gen-29-1,1775205517.0,1775205517.578436,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,YES,BUY,100.0,0.0,filled,m1_ancient_r15_Omega_round_score_9-6_map_score_0-0,578.4359135409691,0.0
gen-30-1,1775205577.0,1775205577.4173877,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,YES,SELL,100.0,160.99170892699027,filled,m1_ancient_r16_Rune Eaters_round_score_9-7_map_score_0-0,417.3877665258832,0.0
gen-32-1,1775205697.0,1775205697.4843843,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,NO,BUY,100.0,0.0,filled,m1_ancient_r17_Rune Eaters_round_score_9-8_map_score_0-0,484.3843639370541,0.0
gen-54-1,1775207018.0,1775207018.4059594,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,NO,SELL,100.0,142.46028919438706,filled,m1_ancient_r21_Omega_round_score_13-8_map_score_1-0,405.95944388761404,0.0
gen-60-1,1775207389.0,1775207389.4437275,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,YES,BUY,100.0,0.0,filled,m1_ancient_r21_Omega_round_score_13-8_map_score_1-0,443.7275949607207,0.0
gen-62-1,1775207508.0,1775207508.501071,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,YES,SELL,100.0,157.15857300015716,filled,m1_ancient_r21_Omega_round_score_13-8_map_score_1-0,501.0710576206725,0.0
gen-79-1,1775208518.0,1775208518.4053073,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,YES,BUY,100.0,0.0,filled,m2_dust2_r7_Rune Eaters_round_score_1-6_map_score_1-0,405.3071939367727,0.0
gen-119-1,1775210935.0,1775210935.4397676,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,YES,SELL,100.0,181.6695431010991,filled,m3_mirage_r10_Rune Eaters_round_score_7-3_map_score_1-1,439.7675301373297,0.0
gen-121-1,1775211038.0,1775211038.5299768,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,NO,BUY,100.0,0.0,filled,m3_mirage_r10_Rune Eaters_round_score_7-3_map_score_1-1,529.9768875559047,0.0
gen-126-1,1775211338.0,1775211338.5089884,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,NO,SELL,100.0,134.707348285849,filled,m3_mirage_r12_Rune Eaters_round_score_7-5_map_score_1-1,508.9882961206433,0.0
gen-129-1,1775211518.0,1775211518.4440882,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,YES,BUY,100.0,0.0,filled,m3_mirage_r14_Omega_round_score_8-6_map_score_1-1,444.0881244081393,0.0
gen-136-1,1775211939.0,1775211939.517853,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,YES,SELL,100.0,212.92451825827743,filled,m3_mirage_r17_Omega_round_score_11-6_map_score_1-1,517.8531367751817,0.0
gen-138-1,1775212059.0,1775212059.561886,cs2-run2-omega1-2026-04-03,75287410072070313482138182655077017926296883899317007126163412308302485037905,NO,BUY,100.0,0.0,filled,m3_mirage_r18_Omega_round_score_12-6_map_score_1-1,561.8860913355653,0.0
